,kernel,pid,visit,accuracy,neg_log_loss,log_marginal_likelihood
91,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,3,0.5976470588235294,-0.7002842715942575,-117.44140041348886
92,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,1,,,-3.0096372940788187
93,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,2,,,-3.0128306858399454
94,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,3,,,-3.0158223466253418
95,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,1,,,-2.992155215346401
96,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,2,,,-2.9976001224522997
97,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,3,,,-3.0226299610439713
98,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,1,0.9666666666666667,-0.17120966175212132,-9.693717809025546
99,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,2,0.968,-0.14180840988871674,-20.190168307993606
100,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,3,,,-2.9979791434303698
101,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,1,0.9659003831417624,-0.22607272640950868,-14.233852770631861
102,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,2,0.9663793103448276,-0.1319696858280039,-17.985776049431138
103,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,3,0.967741935483871,-0.2104747402408038,-7.9397632605428585
104,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,1,,,-2.9741811402550216
105,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,2,,,-2.9884036626388153
106,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,3,,,-3.612876325763144
107,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,1,0.9861111111111112,-0.17668446876186192,-4.288951638749386
108,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,2,,,-3.057097588894636
109,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,1,,,-2.8913521856400544
110,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,2,,,-3.641945422602291
111,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,3,,,-3.0037918091466342
112,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),35,1,,,-2.9808176158741566
113,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),35,2,,,-3.4283989402884636
114,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,1,0.8206153846153846,-0.4787064494085663,-62.37607570298108
115,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,2,0.8532019704433497,-0.4323296050448292,-62.17990607153389
116,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),36,3,0.7501149425287357,-0.5655634000360457,-84.73988884429144
117,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,1,0.9444444444444444,-0.24823452110623545,-9.301999359873932
118,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,2,0.5318279569892473,-0.694106360865925,-100.87844139228025
119,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),37,3,0.5803030303030303,-0.6915334703373409,-108.90822880215052
120,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,1,0.9636243386243386,-0.14378190984349515,-18.000614086872815
121,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,2,,,-3.0058788744139866
122,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,3,,,-2.9620252168355803
123,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,1,0.9652093596059114,-0.1598215431993291,-20.726803909034228
124,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,2,0.9459770114942527,-0.22292188811620242,-30.2044759736946
125,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,3,0.7827586206896552,-0.527562115328083,-79.05776787565532
126,1**2 + 1**2 * DotProduct(sigma_0=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,1,0.7038406827880512,-0.6275181572468634,-119.15205123444191
