,regressor,pid,visit,r2,max_error,MSE
112,RandomForestRegressor(),35,1,0.12321141267910848,-0.6281940000000007,-0.047273103981025695
113,RandomForestRegressor(),35,2,-0.34791057020304866,-0.4908540000000001,-0.035330918342555785
114,RandomForestRegressor(),36,1,-0.049166594815441764,-2.487368,-1.2818941339953231
115,RandomForestRegressor(),36,2,-0.1755220430064404,-2.8038380000000003,-1.3744895910567112
116,RandomForestRegressor(),36,3,-0.28839752311888656,-2.54586,-1.7192175808509653
117,RandomForestRegressor(),37,1,-0.6895863538226884,-1.2517340000000003,-0.3165831209098695
118,RandomForestRegressor(),37,2,-9.769478985746476,-2.7677400000000008,-2.499939721179979
119,RandomForestRegressor(),37,3,-0.32115560814584226,-2.1445260000000004,-1.422560095486288
120,AdaBoostRegressor(),21,1,-3.49694703926345,-2.4238765180102915,-0.43635321918510234
121,AdaBoostRegressor(),21,2,-0.5775682049978774,-0.6187038304358181,-0.06925656859381014
122,AdaBoostRegressor(),21,3,0.10131387550795676,-0.44714193050533557,-0.04289619126996458
123,AdaBoostRegressor(),23,1,-0.04399302349440868,-3.388837209302326,-0.8455651890117677
124,AdaBoostRegressor(),23,2,-0.288149256070194,-2.7404400000000004,-0.7957518282871974
125,AdaBoostRegressor(),23,3,-0.9664669410135902,-2.2134840055914986,-1.3423124997398357
126,AdaBoostRegressor(),25,1,-0.034409561369216,-3.715737615384615,-2.8102186122480064
127,AdaBoostRegressor(),25,2,-0.0633457770447949,-2.175985874246339,-1.2366484752073004
128,AdaBoostRegressor(),25,3,0.18742879655714098,-1.8029501913593386,-0.30756229341793595
129,AdaBoostRegressor(),26,1,-1.1671179868831376,-2.072624761904762,-1.6377973317685366
130,AdaBoostRegressor(),26,2,-0.09959837282807724,-2.25935,-1.662651348174279
131,AdaBoostRegressor(),26,3,-0.20274055450705722,-1.9933353437738728,-1.696602754724013
132,AdaBoostRegressor(),27,1,-0.08027134697088653,-0.4567458739837399,-0.02084332704366624
133,AdaBoostRegressor(),27,2,-0.18908876442863098,-0.39379679350806623,-0.017237825534514646
134,AdaBoostRegressor(),27,3,0.13482123934818513,-0.27060400735953244,-0.009398814156439892
